package_name,current_version,installed_version,most_recent_version
click,7.1.2,8.1.2,8.1.3
cycler,0.10.0,0.11.0,0.11.0
Flask,1.1.2,2.1.2,2.1.2
itsdangerous,1.1.0,2.1.2,2.1.2
Jinja2,2.11.3,3.1.1,3.1.2
joblib,1.0.1,1.1.0,1.1.0
kiwisolver,1.3.1,1.4.2,1.4.2
MarkupSafe,1.1.1,2.1.1,2.1.1
matplotlib,3.3.4,3.5.1,3.5.1
numpy,1.20.1,1.22.3,1.22.3
pandas,1.2.2,1.4.2,1.4.2
Pillow,8.1.0,9.1.0,9.1.0
pyparsing,2.4.7,2.4.7,3.0.8
python-dateutil,2.8.1,2.8.2,2.8.2
pytz,2021.1,2022.1,2022.1
scikit-learn,0.24.1,1.0.2,1.0.2
scipy,1.6.1,1.8.0,1.8.0
seaborn,0.11.1,0.11.2,0.11.2
six,1.15.0,1.16.0,1.16.0
threadpoolctl,2.1.0,3.1.0,3.1.0
Werkzeug,1.0.1,2.1.2,2.1.2
